formula,result,description
"3 Craneos Perfectos, 1 Objeto Raro, Piedra de Jordan",A??ade un engarce al Objeto Raro,"Los Objetos raros solo pueden tener un engarce. Eso en objetos que puedan tener engarces: Armas, Escudos, Armaduras o Yelmos."
"1 Craneo Perfecto, 1 Objeto Raro, Piedra de Jordan",el mismo Objeto Raro de Alta Calidad,L a formula que sigue es: ilvl = int(0.66 * clvl) + int(0.66 * ilvl).
"6 Craneos Perfectos, 1 Objeto Raro",el mismo Objeto Raro de algun tipo,Con esta saldria el mismo objeto raro con modificadores aleatorios. De nivel de los modificadores ilvl 40. Solo para objetos que ocupen 3x2 en el cubo. La Formula es: ilvl = int(0.4 * clvl) + int(0.4 * ilvl).
3 Anillos Magicos,1 Amuleto magico aleatorio,La formula es: ilvl = int(0.75 * clvl).
3 Amuletos Magicos,1 Anillo magico aleatorio,La Formula es: ilvl = int(.75 * clvl).
"3 Pociones de Vida, 3 Pociones de Mana, 1 Gema Fragmentada",1 Pocion de Rejuvenecimiento,Las pociones pueden ser de cualquier tipo.
"3 Pociones de Vida, 3 Pociones de Mana, 1 Gema",1 Pocion de Rejuvenecimiento Completa,"Las pociones pueden ser de cualquier tipo. La gema tiene que ser cualquier esmeralda, rubi, diamante... No valen fragmentadas, estropeadas, sin defectos o perfectas"
3 Pocion de Rejuvenecimiento,,
"1 Pocion de Gas, Pocion de Vida",1 Pocion Antidoto,Vale cualquier pocion de vida.
3 Gemas del mismo tipo y clase,1 Gema del mismo tipo y un Grado Superior,Usa esta formula para obtener gemas de mejor calidad.
"3 Gemas Perfectas, 1 Objeto Magico",Otro Objeto Magico Con modificadores Aleatorios,"Esto se usa para obtener hechizos buenos de malos. Para conseguir Objetos Crueles como: Arcos, Garras... Recuerda que es para cualquier Objeto Magico. Se pueden Obtener Objetos con modificadores de nivel 100. No afecta el nivel del personaje."
"6 Gemas Perfectas, 1 Amuleto",1 Amuleto Prisma,Obtendras un amuleto de resistencias a todo (+16-20 a las Resistencias) y tienes posibilidades de obtener otro modificador. El ilvl sera de 50.
"1 Anillo, 1 Esmeralda Perfecta, 1 Pocion Antidoto",1 Anillo Jade,Anillo con resistencia al Veneno de (21-30)% es aleatorio. Puede aparecer con otro modificador. El ilvl sera de 30.
"1 Anillo, 1 Rubi Perfecta, 1 Pocion Explosion",1 Anillo Garnet,Anillo con resistencia al Fuego de (21-30)% es aleatorio. Puede aparecer con otro modificador. El ilvl sera de 30.
"1 Anillo, 1 Topacio Perfecta, 1 Pocion Rejuvenecimiento",1 Anillo Coral,Anillo con resistencia al Relampago de (21-30)% es aleatorio. Puede aparecer con otro modificador. El ilvl sera de 30.
"1 Anillo, 1 Zafiro Perfecta, 1 Pocion Desconjelamiento",1 Anillo Cobalto,Anillo con resistencia al Frio de (21-30)% es aleatorio. Puede aparecer con otro modificador. El ilvl sera de 30.
"3 Gemas, 1 Arma Engarzable",Arma Magica Engarzable,"Las Gemas son sin modificadores (fragmentadas, estropeadas, sin defectos, perfectas). El Arma obtenida es del mismo tipo. Es una manera de conseguir de un objeto engarzable, un objeto magico engarzable. Los modificadores son aleatorios con nivel ilvl=30 y los engarces seran 1 a 2."
"3 Gemas Fragmentadas, 1 Arma Magica",Arma Magica Engarzable,Es una forma de obtener un arma con 1 o 2 engarces y modificadores de ilvl=25.
"3 Gemas Sin Defectos, 1 Arma Magica",Arma Magica Engarzable,Se obtiene la mismo tipo de arma. Los Modificadores son aleatorios ilvl=30 y los engarces seran 1 o 2.
"1 TAL, 1 THUL, 1 Topacio Perfecto, Armadura Normal",Armadura Engarzable,"Obtendremos el mismo objeto de algun tipo engarzable. El maximo numero de engarces que puede tener cualquier objeto es de 6. ?Como afecta en estos objetos esto? De la siguiente manera. Tenemos que saber los huecos base que tiene el objeto en cuestion. Si fuera un yelmo que de maximo pudiera tener 3 engarces: 1/6 para 1 engarce, 1/6 para tener 2 engarces y 4/6 de tener 3. Si fuera un escudo de 4 engarces: 1/6 para 1 engarce, 1/6 para 2, 1/6 para 3 y 3/6 para 4."
"1 RAL, 1 AMN, 1 Amatista Perfecta, Arma Normal",Arma Engarzable,"Obtendremos el mismo objeto de algun tipo engarzable. El maximo numero de engarces que puede tener cualquier objeto es de 6. ?Como afecta en estos objetos esto? De la siguiente manera. Tenemos que saber los huecos base que tiene el objeto en cuestion. Si fuera un yelmo que de maximo pudiera tener 3 engarces: 1/6 para 1 engarce, 1/6 para tener 2 engarces y 4/6 de tener 3. Si fuera un escudo de 4 engarces: 1/6 para 1 engarce, 1/6 para 2, 1/6 para 3 y 3/6 para 4. afecta en estos objetos esto? De la siguiente manera. Tenemos que saber los huecos base que tiene el objeto en cuestion. Si fuera un yelmo que de maximo pudiera tener 3 engarces: 1/6 para 1 engarce, 1/6 para tener 2 engarces y 4/6 de tener 3. Si fuera un escudo de 4 engarces: 1/6 para 1 engarce, 1/6 para 2, 1/6 para 3 y 3/6 para 4."
"1 RAL, 1 THUL, 1 Zafiro Perfecto, Yelmo Normal",Yelmo Engarzable,"Obtendremos el mismo objeto de algun tipo engarzable. El maximo numero de engarces que puede tener cualquier objeto es de 6. ?Como afecta en estos objetos esto? De la siguiente manera. Tenemos que saber los huecos base que tiene el objeto en cuestion. Si fuera un yelmo que de maximo pudiera tener 3 engarces: 1/6 para 1 engarce, 1/6 para tener 2 engarces y 4/6 de tener 3. Si fuera un escudo de 4 engarces: 1/6 para 1 engarce, 1/6 para 2, 1/6 para 3 y 3/6 para 4. afecta en estos objetos esto? De la siguiente manera. Tenemos que saber los huecos base que tiene el objeto en cuestion. Si fuera un yelmo que de maximo pudiera tener 3 engarces: 1/6 para 1 engarce, 1/6 para tener 2 engarces y 4/6 de tener 3. Si fuera un escudo de 4 engarces: 1/6 para 1 engarce, 1/6 para 2, 1/6 para 3 y 3/6 para 4."
1 TAL + 1 AMN + 1 Rubi Perfecto + Escudo Normal,Escudo Engarzable,"Obtendremos el mismo objeto de algun tipo engarzable. El maximo numero de engarces que puede tener cualquier objeto es de 6. ?Como afecta en estos objetos esto? De la siguiente manera. Tenemos que saber los huecos base que tiene el objeto en cuestion. Si fuera un yelmo que de maximo pudiera tener 3 engarces: 1/6 para 1 engarce, 1/6 para tener 2 engarces y 4/6 de tener 3. Si fuera un escudo de 4 engarces: 1/6 para 1 engarce, 1/6 para 2, 1/6 para 3 y 3/6 para 4. afecta en estos objetos esto? De la siguiente manera. Tenemos que saber los huecos base que tiene el objeto en cuestion. Si fuera un yelmo que de maximo pudiera tener 3 engarces: 1/6 para 1 engarce, 1/6 para tener 2 engarces y 4/6 de tener 3. Si fuera un escudo de 4 engarces: 1/6 para 1 engarce, 1/6 para 2, 1/6 para 3 y 3/6 para 4."
"1 ELD, 1 Gema Fragmentada, 1 Arma de Baja Calidad",Esa Arma de calidad Normal de algun tipo,
"1 EL, 1 Gema Fragmentada, 1 Equipo de Baja Calidad",Esa Armadura de Calidad Normal de algun Tipo,"El Equipo se refiere a: Yelmo, Armadura, Escudo, cinturon, botas y guantes."
"1 RAL, 1 SOL, Esmeralda Perfecta, Arma unica Normal",La misma Arma unica Excepcional,"Esto sirve para subir un grado la calidad de los (normal, excepcional y elite). Los modificadores unicos son los mismos. Solo cambiaran los que a nivel del personaje se refiera. El Equipo se refiere a: Yelmo, Armadura, Escudo, cinturon, botas y guantes."
"1 TAL, 1 SHAEL, 1 Dimante Perfecto, 1 Equipo unico Normal",El mismo equipo unico Excepcional,"Esto sirve para subir un grado la calidad de los (normal, excepcional y elite). Los modificadores unicos son los mismos. Solo cambiaran los que a nivel del personaje se refiera. El Equipo se refiere a: Yelmo, Armadura, Escudo, cinturon, botas y guantes."
"1 LUM, 1 PUL, Esmeralda Perfecta, Arma unica Excepcional",La misma Arma unica de elite (Solo Ladder),"Buriza-do Kyanon - La Ballesta del Coloso / Venganza de Titan - La Jabalina Matriarcal. Esto sirve para subir un grado la calidad de los (normal, excepcional y elite). Los modificadores unicos son los mismos. Solo cambiaran los que a nivel del personaje se refiera. El Equipo se refiere a: Yelmo, Armadura, Escudo, cinturon, botas y guantes."
"1 KO, 1 LEM, 1 Dimante Perfecto, 1 Equipo unico Excepcional",El mismo equipo unico de elite (Solo Ladder),"Jinete Sangriento - Las Grebas de Mirmidon / Angel Guardian - La Coraza Forjada en el Infierno / Ira del Hacedor de Craneos - La Piel de Balrog / Parada de Palo - El Tejido de Huesos / Piel del Mago Viperino - La Guarida de Dragon Peque??o. Esto sirve para subir un grado la calidad de los (normal, excepcional y elite). Los modificadores unicos son los mismos. Solo cambiaran los que a nivel del personaje se refiera. El Equipo se refiere a: Yelmo, Armadura, Escudo, cinturon, botas y guantes."
"1 ORT, 1 AMN, 1 Zafiro Perfecto, 1 Arma rara Normal",El mismo arma Excepcional,"Esto sirve para subir un grado la calidad de los (normal, excepcional y elite). Los modificadores unicos son los mismos. Solo cambiaran los que a nivel del personaje se refiera. El Equipo se refiere a: Yelmo, Armadura, Escudo, cinturon, botas y guantes."
"1 RAL, 1 THUL, 1 Amatista Perfecta, 1 Equipo Raro Normal",El mismo equipo Excepcional,"Esto sirve para subir un grado la calidad de los (normal, excepcional y elite). Los modificadores unicos son los mismos. Solo cambiaran los que a nivel del personaje se refiera. El Equipo se refiere a: Yelmo, Armadura, Escudo, cinturon, botas y guantes."
"1 FAL, 1 UM, 1 Zafiro Perfecto, 1 Arma rara Excepcional",El mismo arma de elite,"Esto sirve para subir un grado la calidad de los (normal, excepcional y elite). Los modificadores unicos son los mismos. Solo cambiaran los que a nivel del personaje se refiera. El Equipo se refiere a: Yelmo, Armadura, Escudo, cinturon, botas y guantes."
"1 KO, 1 PUL, 1 Amatista Perfecta, 1 Equipo Raro Excepcional",El mismo equipo de elite,"Esto sirve para subir un grado la calidad de los (normal, excepcional y elite). Los modificadores unicos son los mismos. Solo cambiaran los que a nivel del personaje se refiera. El Equipo se refiere a: Yelmo, Armadura, Escudo, cinturon, botas y guantes."
"1 ORT, 1 Arma",Repara el arma,Esto sirve para reparar completamente un arma y recargarla. No reparara los Objetos Etereos
"1 RAL, 1 Equipo",Repara el equipo,"Esto sirve para reparar completamente el equipo y recargar los hechizos (no he provado esto aun). El Equipo se refiere a: Yelmo, Armadura, Escudo, cinturon, botas y guantes. Los Etereos no se pueden reparar."
"1 HEL, Pergamido de Portal, Objeto Engarzable",Limpia los engarces,Usa esto para eliminar el contenido de cualquier objeto engarzable si quieres engarzarlo con otras cosas.
"4 Pociones de Vida, Ruby, Espada Magica",Misma espada que roba vida por impacto,Las pociones y el rubi pueden ser de cualquier tipo. Robara de 4-5% de vida. El nivel de los modificadores sera de 30. Tendras posibilidades de que tenga otro modificador.
2 Saetas,1 Flechas,La cantidad es aleatoria.
2 Flechas,1 Saetas,La cantidad es aleatoria.
"1 Lanza, 1 Flechas",1 Jabalinas,
"1 Hacha, 1 Daga",Hacha Arrojadiza,Vale cualquier tipo de hacha y daga. La cantidad de hachas arrojadizas es aleatorio.
"1 Escudo Peque??o, 1 Porra con Puntas, 2 Craneos",Escudo con Puntas,La porra de puntas y los craneos pueden ser de cualquier calidad. Solo valen los escudos peque??os. Obtendremos un escudo con puntas que siempre tendra el modificador 'El atacante recibe el da??o de (4-6)' y tiene posibilidades de tener otro modificador de ilvl=30.
"1 Diamante, 1 Baston, 1 Pu??al Malayo, 1 Cinturon",Arma de Guerra Salvaje,Los objetos pueden ser de cualquier tipo o Calidad. Siempre tendra el modificador Salvaje (66-80% de da??o mejorado) y posibilidades de obtener otro modificador de ilvl=50.
